,Year,White,AfricanAmericans,Latino,Asian
0,1947,98.3%,0.9%,0.7%,0.0%
1,1948,98.5%,0.7%,0.7%,0.0%
2,1949,96.6%,1.5%,1.9%,0.0%
3,1950,95.3%,1.7%,3.0%,0.0%
4,1951,94.3%,2.9%,2.8%,0.0%
5,1952,94.4%,2.9%,2.7%,0.0%
6,1953,93.3%,3.7%,3.0%,0.0%
7,1954,90.7%,5.6%,3.7%,0.0%
8,1955,89.8%,5.2%,5.0%,0.0%
9,1956,88.2%,6.7%,5.1%,0.0%
10,1957,88.1%,6.7%,5.2%,0.0%
11,1958,86.7%,7.4%,5.9%,0.0%
12,1959,84.8%,8.8%,6.5%,0.0%
13,1960,82.3%,8.9%,8.9%,0.0%
14,1961,82.6%,9.7%,7.7%,0.0%
15,1962,81.9%,10.1%,8.0%,0.0%
16,1963,80.1%,11.7%,8.2%,0.0%
17,1964,79.3%,11.7%,8.9%,0.1%
18,1965,78.3%,12.7%,8.8%,0.1%
19,1966,76.9%,13.4%,9.7%,0.0%
20,1967,75.6%,13.6%,10.7%,0.0%
21,1968,73.8%,15.4%,10.8%,0.0%
22,1969,74.4%,14.5%,11.1%,0.0%
23,1970,73.7%,14.6%,11.7%,0.0%
24,1971,73.9%,15.5%,10.6%,0.0%
25,1972,72.9%,16.1%,10.9%,0.0%
26,1973,71.6%,17.4%,11.0%,0.0%
27,1974,71.1%,17.4%,11.5%,0.0%
28,1975,71.3%,18.5%,10.2%,0.0%
29,1976,70.5%,18.0%,11.5%,0.0%
30,1977,70.7%,17.9%,11.4%,0.0%
31,1978,71.3%,17.4%,11.3%,0.0%
32,1979,71.4%,17.9%,10.7%,0.0%
33,1980,71.1%,17.4%,11.6%,0.0%
34,1981,70.1%,18.7%,11.1%,0.0%
35,1982,70.4%,17.9%,11.7%,0.0%
36,1983,70.3%,18.0%,11.6%,0.0%
37,1984,69.6%,18.4%,12.0%,0.0%
38,1985,70.3%,18.3%,11.3%,0.0%
39,1986,70.0%,18.3%,11.8%,0.0%
40,1987,69.9%,17.7%,12.3%,0.0%
41,1988,68.2%,17.3%,14.5%,0.0%
42,1989,70.3%,16.5%,13.2%,0.0%
43,1990,68.6%,16.6%,14.8%,0.0%
44,1991,66.8%,17.0%,16.1%,0.1%
45,1992,67.7%,16.7%,15.6%,0.0%
46,1993,66.3%,16.8%,16.9%,0.0%
47,1994,65.0%,17.2%,17.8%,0.1%
48,1995,64.5%,16.1%,19.2%,0.2%
49,1996,63.2%,16.0%,20.4%,0.4%
50,1997,60.9%,15.0%,23.5%,0.5%
51,1998,62.0%,14.3%,22.8%,0.8%
52,1999,61.7%,13.6%,23.5%,1.2%
53,2000,61.2%,12.8%,24.7%,1.3%
54,2001,60.7%,12.1%,26.0%,1.2%
55,2002,60.8%,10.8%,26.5%,1.9%
56,2003,61.0%,10.4%,26.8%,1.8%
57,2004,60.3%,10.1%,27.7%,1.8%
58,2005,60.9%,9.1%,27.8%,2.3%
59,2006,61.3%,9.0%,27.9%,1.9%
60,2007,63.1%,8.5%,26.1%,2.2%
61,2008,62.1%,8.2%,27.3%,2.3%
62,2009,62.2%,7.1%,28.5%,2.1%
63,2010,63.0%,7.8%,27.2%,1.9%
64,2011,63.5%,7.9%,26.9%,1.7%
65,2012,63.9%,7.2%,26.9%,1.9%
66,2013,63.6%,6.7%,27.7%,2.0%
67,2014,63.7%,6.7%,27.7%,1.8%
68,2015,63.4%,7.2%,27.7%,1.7%
69,2016,63.7%,6.7%,27.4%,2.1%
