Team,R,RA,W,L
TOR,846,663,91,71
HOU,863,658,95,67
BOS,829,749,92,70
SFG,804,594,107,55
CHW,796,636,93,69
CIN,786,760,83,79
LAD,830,561,106,56
WSN,724,820,65,97
ATL,790,656,88,73
TBR,857,651,100,62
MIN,729,834,73,89
NYY,711,669,92,70
COL,739,796,74,87
PHI,734,745,82,80
OAK,743,687,86,76
SDP,729,708,79,83
STL,706,672,90,72
CHC,705,839,71,91
MIL,738,623,95,67
LAA,723,804,77,85
NYM,636,668,77,85
CLE,717,727,80,82
DET,697,756,77,85
BAL,659,956,52,110
KCR,686,788,74,88
ARI,679,893,52,110
SEA,697,748,90,72
PIT,609,833,61,101
MIA,623,701,67,95
TEX,625,815,60,102
