"Name","Team","G","PA","HR","R","RBI","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","WAR","playerid"
"Bryce Harper","PHI","141","599","35","101","84","16.7%","22.4%",".305",".359",".309",".429",".615","1.044",".431","170","6.5","11579"
"Juan Soto","WSN","151","654","29","111","95","22.2%","14.2%",".221",".332",".313",".465",".534",".999",".420","163","7.0","20123"
"Vladimir Guerrero Jr.","TOR","161","698","48","123","111","12.3%","15.8%",".290",".313",".311",".401",".601","1.002",".419","166","6.3","19611"
"Fernando Tatis Jr.","SDP","130","546","42","99","97","11.4%","28.0%",".328",".324",".282",".364",".611",".975",".403","156","7.3","19709"
"Shohei Ohtani","LAA","158","639","46","103","100","15.0%","29.6%",".335",".303",".257",".372",".592",".965",".393","152","5.1","19755"
"Joey Votto","CIN","129","533","36","73","99","14.4%","23.8%",".297",".287",".266",".375",".563",".938",".391","140","3.7","4314"
"Nick Castellanos","CIN","138","585","34","95","100","7.0%","20.7%",".267",".340",".309",".362",".576",".939",".391","140","3.7","11737"
"Aaron Judge","NYY","148","633","39","89","98","11.8%","25.0%",".256",".332",".287",".373",".544",".916",".387","148","5.3","15640"
"Trea Turner","- - -","148","646","28","107","77","6.3%","17.0%",".208",".362",".328",".375",".536",".911",".386","142","6.8","16252"
"Bryan Reynolds","PIT","159","646","24","93","90","11.6%","18.4%",".220",".345",".302",".390",".522",".912",".385","142","6.1","19326"
"Tyler O'Neill","STL","138","537","34","89","80","7.1%","31.3%",".274",".366",".286",".352",".560",".912",".384","144","5.6","15711"
"C.J. Cron","COL","142","547","28","70","92","11.0%","21.4%",".249",".316",".281",".375",".530",".905",".383","127","2.3","12546"
"Kyle Tucker","HOU","140","567","30","83","92","9.3%","15.9%",".263",".304",".294",".359",".557",".917",".383","147","4.9","18345"
"Austin Riley","ATL","160","662","33","91","107","7.9%","25.4%",".227",".368",".303",".367",".531",".898",".379","135","4.7","18360"
"Freddie Freeman","ATL","159","695","31","120","83","12.2%","15.4%",".203",".321",".300",".393",".503",".896",".379","135","4.8","5361"
"Max Muncy","LAD","144","592","36","95","94","14.0%","20.3%",".278",".257",".249",".368",".527",".895",".379","140","4.8","13301"
"Matt Olson","OAK","156","673","39","101","111","13.1%","16.8%",".269",".269",".271",".371",".540",".911",".379","146","4.9","14344"
"Brandon Crawford","SFG","138","549","24","79","90","10.2%","19.1%",".224",".334",".298",".373",".522",".895",".377","139","6.3","5343"
