"Season","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1970","50415","149312","3429","16880","15762","1908","9.2%","15.0%",".131",".281",".254",".326",".385",".319","","93","0.0","-1283.7","840.8","456.6"
"1971","48809","146690","2863","15073","14077","1765","8.5%","14.3%",".116",".276",".249",".317",".365",".310","","93","0.0","-1147.4","694.6","455.7"
"1972","46786","139947","2534","13706","12750","1807","8.4%","14.8%",".110",".272",".244",".311",".354",".304","","93","0.0","-1056.1","646.3","436.6"
"1973","46316","148777","3102","16376","15254","2034","8.8%","13.7%",".122",".281",".257",".325",".379",".319","","96","0.0","-617.7","132.0","456.2"
"1974","47228","148855","2649","16046","14858","2489","8.7%","13.1%",".112",".282",".257",".324",".369",".318","","97","1.0","-535.6","81.0","456.6"
"1975","46887","148621","2698","16295","15153","2529","9.0%","13.0%",".116",".282",".258",".327",".374",".321","","96","0.2","-611.1","117.3","454.1"
"1976","46634","147598","2235","15492","14363","3054","8.4%","12.7%",".106",".281",".255",".320",".361",".315","","97","0.4","-567.0","84.8","455.1"
"1977","50773","161547","3644","18803","17595","3016","8.5%","13.4%",".137",".287",".264",".329",".401",".324","","97","-0.6","-604.4","89.9","493.4"
"1978","50274","159192","2956","17251","16098","3004","8.5%","12.6%",".121",".280",".258",".323",".379",".318","","97","0.4","-604.5","71.5","493.7"
"1979","50044","160378","3433","18713","17558","2982","8.5%","12.5%",".132",".286",".265",".330",".397",".324","","97","0.2","-637.8","109.0","492.4"
"1980","51112","161210","3087","18053","16928","3294","8.2%","12.5%",".123",".287",".265",".326",".388",".320","","97","0.4","-557.8","70.8","494.1"
"1981","34019","105892","1781","11147","10451","2021","8.4%","12.5%",".113",".279",".256",".320",".369",".314","","97","0.7","-333.2","24.4","327.3"
"1982","50473","161104","3379","18110","17019","3176","8.3%","13.2%",".128",".284",".261",".324",".389",".318","","97","0.0","-591.2","103.1","494.4"
"1983","50955","160615","3301","18170","17067","3325","8.4%","13.5%",".128",".285",".261",".325",".389",".319","","97","0.4","-634.5","151.9","494.8"
"1984","51802","160566","3258","17921","16778","3032","8.3%","14.0%",".125",".286",".260",".323",".385",".317","","97","0.4","-596.8","129.4","494.0"
"1985","51212","160320","3602","18216","17129","3097","8.6%","14.0%",".134",".281",".257",".323",".391",".317","","97","0.0","-603.2","121.6","493.4"
"1986","51110","160858","3813","18545","17396","3312","8.8%","15.4%",".137",".286",".258",".326",".395",".320","","97","0.0","-640.3","146.2","493.5"
"1987","51173","161922","4458","19883","18713","3585","8.9%","15.5%",".152",".289",".263",".331",".415",".326","","97","0.0","-713.6","173.4","493.8"
"1988","49903","159380","3180","17380","16217","3301","8.1%","14.7%",".123",".282",".254",".318",".378",".312","","97","0.0","-600.7","123.7","492.9"
"1989","50628","160033","3083","17405","16229","3115","8.5%","14.8%",".121",".283",".254",".320",".375",".313","","97","-0.2","-561.5","63.6","494.3"
"1990","51345","160316","3317","17919","16804","3290","8.6%","14.9%",".128",".287",".258",".325",".385",".319","","97","0.4","-637.5","71.2","494.3"
"1991","51796","160746","3383","18127","17048","3120","8.7%","15.2%",".129",".285",".256",".323",".385",".318","","97","0.0","-519.7","89.9","494.0"
"1992","50937","160545","3038","17341","16284","3264","8.5%","14.7%",".122",".285",".256",".322",".377",".317","","97","0.0","-532.6","111.3","494.5"
"1993","55035","174564","4030","20864","19596","3263","8.7%","15.1%",".138",".294",".265",".332",".403",".327","","97","0.0","-743.2","208.7","532.3"
"1994","38374","124483","3306","15752","14858","2258","8.9%","15.9%",".155",".300",".270",".339",".424",".333","","97","0.0","-557.0","211.5","375.3"
"1995","49777","156703","4081","19554","18436","2932","9.1%","16.2%",".150",".298",".267",".338",".417",".333","","96","0.2","-716.1","228.4","473.2"
"1996","55959","177261","4962","22831","21570","3240","9.1%","16.5%",".157",".301",".270",".340",".427",".335","","97","0.2","-780.1","301.2","531.8"
"1997","58107","175541","4640","21604","20468","3308","8.9%","17.1%",".152",".301",".267",".337",".419",".332","","96","0.4","-798.3","338.3","531.7"
"1998","62317","188284","5064","23297","22081","3284","8.7%","16.9%",".154",".300",".266",".335",".420",".331","","96","0.0","-909.9","539.5","570.9"
"1999","61966","189692","5528","24691","23461","3421","9.4%","16.4%",".163",".302",".271",".345",".434",".341","","96","0.0","-948.1","547.7","570.4"
"2000","62083","190261","5693","24971","23735","2924","9.6%","16.5%",".167",".300",".270",".345",".437",".341","","96","0.0","-1012.8","538.6","570.5"
"2001","61371","186976","5458","23199","22088","3103","8.5%","17.3%",".163",".296",".264",".332",".427",".327","","96","0.4","-935.1","469.1","570.0"
"2002","68340","186615","5059","22408","21332","2750","8.7%","16.8%",".155",".293",".261",".331",".417",".326","","96","-1.8","-861.5","347.1","569.1"
